,pKi
815,6.47
816,8.22
817,8.7
818,8.4
819,5.88
820,8.4
821,8.7
822,9.0
823,8.05
824,8.52
825,8.52
826,6.99
827,7.64
828,7.89
829,8.1
830,9.0
831,9.0
832,9.0
833,9.0
834,7.58
835,8.7
836,9.0
837,7.75
838,8.51
839,8.85
840,7.7
841,8.18
842,8.24
843,8.89
844,7.46
845,8.64
846,8.68
847,8.8
848,5.43
849,5.43
850,7.3
851,5.62
852,5.8
853,5.24
854,6.48
855,4.95
856,6.31
857,6.48
858,5.82
859,8.47
860,7.85
861,7.68
862,7.54
863,7.62
864,7.89
865,7.82
866,7.92
867,7.26
868,7.38
869,5.82
870,5.57
871,5.45
872,5.31
873,5.09
874,5.53
875,5.98
876,5.66
877,5.9
878,4.95
879,5.94
880,7.03
881,6.51
882,6.61
883,6.28
884,6.58
885,6.37
886,6.41
887,6.77
888,6.37
889,8.4
890,9.7
891,8.3
892,8.52
893,8.52
894,8.3
895,8.3
896,8.7
897,8.7
898,8.0
899,8.1
900,6.22
901,5.96
902,6.4
903,6.22
904,6.4
905,7.0
906,9.4
907,9.6
908,7.28
909,7.8
910,7.76
911,7.33
912,7.29
913,7.28
914,7.26
915,7.15
916,6.88
917,6.8
918,7.85
919,8.21
920,7.29
921,7.24
922,8.28
923,8.44
924,8.04
925,8.27
926,6.5
927,7.26
928,6.82
929,6.83
930,6.1
931,6.99
932,6.84
933,6.14
934,6.19
935,6.62
936,4.79
937,5.0
938,5.51
939,5.69
940,5.21
941,5.43
942,5.38
943,5.22
944,5.12
945,5.36
946,5.44
947,5.8
948,5.31
949,5.44
950,5.73
951,5.53
952,5.66
953,5.82
954,7.32
955,6.49
956,6.91
957,6.97
958,6.0
959,6.69
960,7.05
961,6.85
962,6.53
963,8.68
964,7.96
965,8.36
966,8.6
967,8.42
968,7.07
969,8.4
970,8.43
971,8.07
972,8.8
973,8.96
974,8.85
975,9.22
976,9.22
977,9.3
978,9.0
979,8.68
980,8.89
981,6.2
982,5.54
983,5.28
984,5.25
985,5.87
986,5.6
987,6.25
988,5.66
989,6.26
990,6.72
991,5.98
992,6.61
993,6.72
994,6.64
995,6.94
996,6.75
997,6.43
998,7.41
999,6.26
1000,5.19
1001,6.38
1002,6.04
1003,5.85
1004,5.1
1005,6.17
1006,6.88
1007,5.97
1008,5.04
1009,5.39
1010,5.48
1011,5.3
1012,5.58
1013,5.7
1014,5.04
1015,5.52
1016,8.7
1017,8.52
1018,8.52
1019,8.4
1020,8.7
1021,9.0
1022,8.7
1023,9.0
1024,8.37
1025,7.31
1026,7.6
1027,7.64
1028,7.1
1029,7.8
1030,7.54
1031,7.96
1032,6.87
1033,8.64
1034,7.17
1035,8.33
1036,8.05
1037,7.3
1038,6.31
1039,7.7
1040,5.85
1041,6.4
1042,6.12
1043,5.18
1044,5.47
1045,5.85
1046,5.44
1047,7.89
1048,7.27
1049,9.0
1050,7.15
1051,8.66
1052,6.85
1053,6.69
1054,7.55
1055,7.92
1056,6.77
1057,7.77
1058,5.14
1059,8.41
1060,6.42
1061,5.64
1062,4.98
1063,5.69
1064,8.3
1065,7.47
1066,6.96
