,molecule_chembl_id,Ki,units,pKi,smiles
2193,CHEMBL1650384,8.1,nM,8.09,CC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1
2194,CHEMBL1650385,6.4,nM,8.19,CCC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1
2195,CHEMBL1650386,5.7,nM,8.24,CCCC(=O)Nc1cc(-c2ccco2)nc(-c2ccco2)n1
2196,CHEMBL1650387,24.6,nM,7.61,CC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1
2197,CHEMBL1650388,114.0,nM,6.94,CCC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1
2198,CHEMBL1650389,153.0,nM,6.82,CCCC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1
2199,CHEMBL1650390,74.0,nM,7.13,CC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1
2200,CHEMBL1650391,82.8,nM,7.08,CCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1
2201,CHEMBL1650392,544.0,nM,6.26,CCCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1
2202,CHEMBL1650393,39.8,nM,7.4,CC(=O)Nc1cc(-c2ccsc2)nc(-c2ccsc2)n1
2203,CHEMBL1650394,63.5,nM,7.2,CCC(=O)Nc1cc(-c2ccsc2)nc(-c2ccsc2)n1
2204,CHEMBL225460,196.0,nM,6.71,O=C(Nc1nc(-c2ccccc2)cc(-c2ccccc2)n1)C1CCCC1
2205,CHEMBL1671919,890.0,nM,6.05,CCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2206,CHEMBL1671918,350.0,nM,6.46,CCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2207,CHEMBL1671920,300.0,nM,6.52,CC(C)C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2208,CHEMBL1671925,220.0,nM,6.66,Cc1nc(NC(=O)c2ccc(NC(=O)CC(C)(C)C)cc2)sc1C
2209,CHEMBL1671916,220.0,nM,6.66,Cc1ccccc1C(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2210,CHEMBL1671930,200.0,nM,6.7,Cc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1
2211,CHEMBL1671917,190.0,nM,6.72,CCCCC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2212,CHEMBL1671931,180.0,nM,6.75,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)c(Cl)c1
2213,CHEMBL1671924,120.0,nM,6.92,Cc1cnc(NC(=O)c2ccc(NC(=O)CC(C)(C)C)cc2)s1
2214,CHEMBL1671928,110.0,nM,6.96,CC(C)(C)CNC(=O)c1ccc(C(=O)Nc2nccs2)cc1
2215,CHEMBL1671921,90.0,nM,7.05,CC(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2216,CHEMBL1671929,50.0,nM,7.3,COc1cc(NC(=O)CC(C)(C)C)ccc1C(=O)Nc1nccs1
2217,CHEMBL1671922,36.0,nM,7.44,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1
2218,CHEMBL1671937,32.0,nM,7.5,Cc1cc(C(=O)Nc2nccs2)cc(Cl)c1NC(=O)CC(C)(C)C
2219,CHEMBL1671923,28.0,nM,7.55,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2ncc(Cl)s2)cc1
2220,CHEMBL1671934,22.0,nM,7.66,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1Cl
2221,CHEMBL1671933,19.0,nM,7.72,Cc1cc(C(=O)Nc2nccs2)ccc1NC(=O)CC(C)(C)C
2222,CHEMBL1671932,17.0,nM,7.77,COc1cc(C(=O)Nc2nccs2)ccc1NC(=O)CC(C)(C)C
2223,CHEMBL1671938,12.0,nM,7.92,COc1c(C(=O)Nc2nccs2)ccc(NC(=O)CC(C)(C)C)c1F
2224,CHEMBL1671935,9.2,nM,8.04,CC(C)(C)CC(=O)Nc1ccc(C(=O)Nc2nccs2)cc1F
2225,CHEMBL1671936,5.9,nM,8.23,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F
2226,CHEMBL1672611,44.0,nM,7.36,O=C(Nc1cnc(-c2ccncc2)c(-c2ccco2)n1)C1CC1
2227,CHEMBL1672612,727.0,nM,6.14,CC(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1
2228,CHEMBL1672613,55.0,nM,7.26,CCC(=O)Nc1cnc(-c2ccncc2)c(-c2ccco2)n1
