,molecule_chembl_id,Ki,units,pKi,smiles,mols,maccs,mw,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
2612,CHEMBL4295054,13.2,nM,7.88,CNc1ncc(C(=O)OCc2ccccc2OC)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF53F0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46810>,379.12805402400005,0.15789473684210525,9,1,4,9,28,6,103.78,0.510161523852598,2.7916000000000007,2.5937460062011244,0,0,0,1,3,4,0,0,0
2613,CHEMBL4278675,62.2,nM,7.21,CNc1ncc(C(=O)OCc2ccc(C)cc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5460>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46880>,363.133139404,0.15789473684210525,8,1,4,8,27,5,94.55,0.5444743739347088,3.091420000000001,2.5345892754474892,0,0,0,1,3,4,0,0,0
2614,CHEMBL4286593,21.0,nM,7.68,CNc1ncc(C(=O)OCc2cccc(C)c2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF54D0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB468F0>,363.133139404,0.15789473684210525,8,1,4,8,27,5,94.55,0.5444743739347088,3.091420000000001,2.584162056512577,0,0,0,1,3,4,0,0,0
2615,CHEMBL4282137,37.2,nM,7.43,CNc1ncc(C(=O)OCc2ccccc2C)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5540>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46960>,363.133139404,0.15789473684210525,8,1,4,8,27,5,94.55,0.5444743739347088,3.091420000000001,2.5964762576960094,0,0,0,1,3,4,0,0,0
2616,CHEMBL4290021,197.0,nM,6.71,CNc1ncc(C(=O)OC(c2ccccc2)c2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF55B0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB469D0>,425.1487894680001,0.08333333333333333,8,1,5,8,32,6,94.55,0.4036836427213632,4.372400000000004,2.6156016769294883,0,0,0,2,3,5,0,0,0
2617,CHEMBL4285563,114.0,nM,6.94,CNc1ncc(C(=O)OCc2ccccc2)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46A40>,349.11748934,0.1111111111111111,8,1,4,8,26,5,94.55,0.5535954535876119,2.7830000000000004,2.488235764767305,0,0,0,1,3,4,0,0,0
2618,CHEMBL4293398,86.5,nM,7.06,CNc1ncc(C(=O)OC(C)C)c2nc(-c3ccco3)nn12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46AB0>,301.1174893400001,0.2857142857142857,8,1,3,8,22,4,94.55,0.7361854250859787,1.9911999999999999,2.7291107020999092,0,0,0,0,3,3,0,0,0
2619,CHEMBL4288430,1860.0,nM,5.73,CCOC(=O)c1cnc(OCC)n2nc(-c3ccco3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46B20>,302.101504928,0.2857142857142857,8,0,3,8,22,5,91.75,0.6650468171695842,1.9596999999999998,2.60932115938456,0,0,0,0,3,3,0,0,0
2620,CHEMBL4281640,829.0,nM,6.08,CCOC(=O)c1cnc(NCCN)n2nc(-c3ccco3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5770>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46B90>,316.128388372,0.2857142857142857,9,3,3,9,23,6,120.57,0.6442792361938451,0.9316,2.6777677450018054,0,0,0,0,3,3,0,0,0
2621,CHEMBL4277424,1540.0,nM,5.81,CCOC(=O)CNC(=O)c1cnc(NCC(=O)OCC)n2nc(-c3ccco3)nc12,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF57E0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46C00>,416.14443236000005,0.3333333333333333,12,2,3,12,30,9,149.95,0.4759586591681159,0.6522000000000001,2.7109657974440733,0,0,0,0,3,3,0,0,0
2622,CHEMBL4442908,0.59,nM,9.23,NCCC(=O)Nc1ccc(-c2cn3c(=O)n(-c4ccccc4)nc3c(N)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000018B5EAF5850>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000018B5EB46C70>,389.1600228480001,0.1,9,5,4,9,29,5,133.32999999999998,0.4726122343621066,1.4166999999999992,2.465956117072661,0,0,0,2,2,4,0,0,0
