,pKi,fsp3,n_lipinski_hba,n_lipinski_hbd,n_rings,n_hetero_atoms,n_heavy_atoms,n_rotatable_bonds,tpsa,qed,clogp,sas,n_aliphatic_carbocycles,n_aliphatic_heterocyles,n_aliphatic_rings,n_aromatic_carbocycles,n_aromatic_heterocyles,n_aromatic_rings,n_saturated_carbocycles,n_saturated_heterocyles,n_saturated_rings
652,8.92,0.3571428571428571,10,1,5,10,38,9,107.54,0.3585667891792148,3.739760000000003,2.736598204649061,0,1,1,1,3,4,0,1,1
653,8.24,0.3076923076923077,10,1,4,10,36,9,107.54,0.3760141200606191,3.935260000000002,2.742703948762617,0,0,0,1,3,4,0,0,0
654,9.05,0.3076923076923077,10,1,4,10,36,9,107.54,0.3760141200606191,3.935260000000003,2.712279424771758,0,0,0,1,3,4,0,0,0
655,9.0,0.3076923076923077,9,1,4,9,35,8,98.31,0.4079032166857281,4.235080000000004,2.703544361062484,0,0,0,1,3,4,0,0,0
656,9.0,0.28,9,1,4,9,34,8,98.31,0.4253954737197601,3.9266600000000023,2.638746957807632,0,0,0,1,3,4,0,0,0
657,8.64,0.3571428571428571,10,1,5,10,38,9,107.54,0.3585667891792148,3.739760000000003,2.7201653375161943,0,1,1,1,3,4,0,1,1
658,9.3,0.3076923076923077,9,1,4,9,35,9,98.31,0.391902790711889,3.969160000000003,2.6589266502019147,0,0,0,1,3,4,0,0,0
659,8.85,0.3333333333333333,10,1,5,11,38,8,107.54,0.3735581893341742,3.836360000000002,2.8001777452919043,0,1,1,1,3,4,0,1,1
660,9.3,0.3333333333333333,9,1,5,10,37,8,98.31,0.3744678525756682,4.599960000000004,2.742866901078333,0,1,1,1,3,4,0,1,1
661,9.3,0.28,9,1,4,10,35,8,98.31,0.4076857635569065,4.065760000000003,2.7667930266825778,0,0,0,1,3,4,0,0,0
662,9.15,0.217391304347826,9,3,4,9,32,7,121.09,0.4593565683445508,3.323760000000001,2.5906428920155484,0,0,0,1,3,4,0,0,0
663,8.92,0.3333333333333333,10,1,5,10,37,8,107.54,0.3887189369515589,3.697260000000002,2.67227056072322,0,1,1,1,3,4,0,1,1
664,9.52,0.3076923076923077,9,1,4,9,35,9,98.31,0.385773385941879,4.316760000000003,2.686518258593523,0,0,0,1,3,4,0,0,0
665,9.52,0.28,9,2,4,9,34,9,107.1,0.389063875368855,3.974560000000003,2.6209964770384016,0,0,0,1,3,4,0,0,0
666,9.4,0.28,9,1,4,9,34,8,98.31,0.4253954737197601,3.9266600000000023,2.630455130884556,0,0,0,1,3,4,0,0,0
667,8.74,0.0476190476190476,8,1,4,9,30,6,113.68,0.5130601432637845,3.551280000000002,2.5456301516193083,0,0,0,1,3,4,0,0,0
668,8.44,0.05,7,1,4,9,29,6,89.89,0.5226400476123785,3.8187000000000015,2.4439689939194142,0,0,0,1,3,4,0,0,0
669,8.43,0.1818181818181818,8,1,4,9,31,6,95.07,0.5055847249634324,4.004160000000002,2.531635871434567,0,0,0,1,3,4,0,0,0
670,7.44,0.1428571428571428,7,1,4,8,29,6,90.14,0.5071926573897125,4.494440000000004,2.4681874489937528,0,0,0,1,3,4,0,0,0
671,7.85,0.1,7,1,4,9,29,6,90.14,0.4741072571783413,4.839420000000003,2.535257229213535,0,0,0,1,3,4,0,0,0
672,8.17,0.0952380952380952,8,1,4,9,30,6,113.93,0.5030727656101541,4.057700000000002,2.643654934594954,0,0,0,1,3,4,0,0,0
673,7.96,0.1,7,1,4,9,29,6,90.14,0.5089853949812837,4.325120000000003,2.544649536905842,0,0,0,1,3,4,0,0,0
674,8.13,0.1,7,1,4,8,28,6,90.14,0.5292003743111784,4.186020000000003,2.4346959123924954,0,0,0,1,3,4,0,0,0
675,6.05,0.3636363636363636,6,1,3,6,17,0,65.54,0.7045753746103384,0.4405999999999997,3.7095562405849662,0,2,2,0,1,1,0,1,1
676,5.38,0.4166666666666667,6,0,3,6,18,0,56.75000000000001,0.6672440565477595,0.4649000000000001,3.770242971773299,0,2,2,0,1,1,0,1,1
677,5.31,0.0,3,2,3,5,16,0,48.91,0.6501179142501082,3.9467,2.726579244579101,0,0,0,1,2,3,0,0,0
678,5.16,0.4166666666666667,6,0,3,6,18,0,56.75000000000001,0.6672440565477595,0.4648999999999998,3.718848309292923,0,2,2,0,1,1,0,1,1
679,5.0,0.3636363636363636,6,1,3,6,17,0,65.54,0.7045753746103384,0.4405999999999997,3.7648996121070617,0,2,2,0,1,1,0,1,1
680,8.4,0.217391304347826,8,1,4,8,31,6,95.07,0.5087841047108692,4.037360000000003,2.460123633672328,0,0,0,1,3,4,0,0,0
681,9.1,0.3333333333333333,9,1,5,9,36,7,98.31,0.4235213630709767,3.860960000000003,2.6308130266230663,0,1,1,1,3,4,0,1,1
682,9.7,0.28,8,1,4,8,33,7,89.08,0.4618413883991986,4.090360000000003,2.590219209169833,0,0,0,1,3,4,0,0,0
683,8.3,0.217391304347826,10,2,4,11,34,7,132.01,0.4142257420913469,3.400260000000002,2.6297224689412357,0,0,0,1,3,4,0,0,0
684,8.52,0.25,8,1,4,8,32,6,95.07,0.4877910093022449,4.345780000000003,2.5686325116267064,0,0,0,1,3,4,0,0,0
685,8.52,0.217391304347826,8,1,4,9,32,6,95.07,0.4883123388114687,4.176460000000003,2.577797127011321,0,0,0,1,3,4,0,0,0
686,8.3,0.1818181818181818,7,1,4,9,31,5,85.84,0.5171081518739399,4.306960000000004,2.585411395910091,0,0,0,1,3,4,0,0,0
687,8.3,0.1818181818181818,7,1,4,9,31,5,85.84,0.5171081518739399,4.306960000000004,2.6420930935228224,0,0,0,1,3,4,0,0,0
688,8.7,0.25,9,1,4,9,33,7,104.3,0.4557356098351365,4.045960000000004,2.6194137501127592,0,0,0,1,3,4,0,0,0
689,8.7,0.25,9,1,4,9,33,7,104.3,0.4557356098351365,4.045960000000004,2.5354956359688394,0,0,0,1,3,4,0,0,0
690,9.0,0.1739130434782608,9,1,4,10,33,6,119.73,0.4677155002405177,2.925840000000001,2.4980112687231824,0,0,0,1,3,4,0,0,0
691,8.52,0.2083333333333333,7,1,4,7,31,5,85.59,0.5324410727621472,4.139180000000002,2.501761221084914,0,0,0,1,3,4,0,0,0
692,9.0,0.24,9,1,4,9,34,8,104.05,0.4265605290541052,3.9296400000000022,2.486440410424601,0,0,0,1,3,4,0,0,0
693,9.0,0.2083333333333333,9,1,4,9,33,7,104.05,0.4648712191278684,3.5395400000000024,2.5288973465437827,0,0,0,1,3,4,0,0,0
694,9.0,0.0952380952380952,7,1,4,8,29,6,89.89,0.5258830483788,3.8519000000000014,2.3699327948243933,0,0,0,1,3,4,0,0,0
695,9.0,0.1739130434782608,8,1,4,8,31,6,94.82,0.5186359593390429,3.530940000000002,2.36560966730162,0,0,0,1,3,4,0,0,0
696,8.22,0.1428571428571428,7,1,4,8,29,6,90.14,0.5116852573051365,4.358320000000003,2.4697319544882586,0,0,0,1,3,4,0,0,0
697,8.0,0.1428571428571428,8,1,4,8,29,6,95.07,0.5428974231310733,3.4205200000000024,2.4371638226201284,0,0,0,1,3,4,0,0,0
698,5.95,0.5,5,1,1,6,16,5,64.11,0.630203724708978,1.9457,2.4038726012224583,0,0,0,0,1,1,0,0,0
699,5.38,0.3125,5,1,2,7,23,7,64.11,0.598768899705009,4.169500000000003,2.3285544475300477,0,0,0,1,1,2,0,0,0
700,7.15,0.6153846153846154,5,1,1,6,19,8,64.11,0.586372507705057,3.116000000000001,2.4244556198670413,0,0,0,0,1,1,0,0,0
701,6.4,0.5454545454545454,5,1,1,6,17,6,64.11,0.6240729270428219,2.3358,2.3989235376507025,0,0,0,0,1,1,0,0,0
702,8.05,0.4210526315789473,9,1,4,10,29,5,92.07,0.6802499209569188,1.5885399999999996,2.6770315572950896,0,1,1,0,3,3,0,1,1
703,7.59,0.3809523809523809,9,1,4,9,30,5,92.07,0.6868528326998085,1.5270399999999995,2.487687986226563,0,1,1,0,3,3,0,1,1
704,7.27,0.3157894736842105,9,1,4,9,28,5,92.07,0.7054229176047011,0.9101999999999992,2.469002291379361,0,1,1,0,3,3,0,1,1
705,7.77,0.3529411764705882,9,1,4,10,27,5,92.07,0.7007084452858597,0.9716999999999992,2.6715931478166013,0,1,1,0,3,3,0,1,1
706,6.72,0.45,10,1,4,10,30,5,105.21,0.6734643502616949,1.4284599999999996,2.8141277883942983,0,1,1,0,3,3,0,1,1
707,6.0,0.4210526315789473,10,1,4,10,29,5,105.21,0.6840297858668103,1.1200399999999997,2.7218480540513443,0,1,1,0,3,3,0,1,1
