,molecule_chembl_id,Ki,units,pKi,smiles,molecular_weight,n_hba,n_hbd,logp,passed
181,CHEMBL302765,140.0,nM,6.85,CCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,432.16583650000007,11,2,3.7966000000000015,True
182,CHEMBL165044,53.0,nM,7.28,CCn1cc2c(nc(NC(=O)Nc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1,456.1270063800001,10,2,4.416700000000002,True
183,CHEMBL164992,160.0,nM,6.8,COc1cccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)c1,404.13453637200007,11,2,2.9236000000000013,True
184,CHEMBL350573,305.0,nM,6.52,CCCn1cc2c(nc(NC(=O)Nc3ccc(S(=O)(=O)O)cc3)n3nc(-c4ccco4)nc23)n1,482.112086676,13,3,3.034700000000001,True
185,CHEMBL168018,62.0,nM,7.21,CCCn1cc2c(nc(NC(=O)Nc3ccccc3)n3nc(-c4ccco4)nc23)n1,402.15527181600004,10,2,3.788000000000001,True
186,CHEMBL350042,121.0,nM,6.92,CCCn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,436.11629946400006,10,2,4.4414000000000025,True
187,CHEMBL349611,91.0,nM,7.04,CCCCn1cc2c(nc(NC(=O)Nc3ccccc3OC)n3nc(-c4ccco4)nc23)n1,446.18148656400007,11,2,4.186700000000002,True
188,CHEMBL164381,140.0,nM,6.85,CCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,418.15018643600007,11,2,3.406500000000001,True
189,CHEMBL164281,200.0,nM,6.7,Cn1cc2c(nc(NC(=O)Nc3ccccc3Cl)n3nc(-c4ccco4)nc23)n1,408.08499933600007,10,2,3.5684000000000013,True
190,CHEMBL350261,113.0,nM,6.95,CCCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,432.16583650000007,11,2,3.7966000000000015,True
191,CHEMBL355415,1115.0,nM,5.95,CCCn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,447.1403500240001,13,2,3.696200000000001,True
192,CHEMBL36160,7750.0,nM,5.11,CCNc1nc(NC(=O)CC2CCCCC2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,434.2277680599999,11,5,0.7784999999999991,True
193,CHEMBL330286,80.0,nM,7.1,CCCCn1cc2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)n1,446.18148656400007,11,2,4.186700000000002,True
194,CHEMBL350205,50.0,nM,7.3,CCCn1cc2c(nc(NC(=O)Nc3ccc(Br)cc3)n3nc(-c4ccco4)nc23)n1,480.0657838840001,10,2,4.550500000000003,True
195,CHEMBL164325,95.0,nM,7.02,CCCCn1cc2c(nc(NC(=O)Nc3cccc(OC)c3)n3nc(-c4ccco4)nc23)n1,446.18148656400007,11,2,4.186700000000002,True
196,CHEMBL354161,695.0,nM,6.16,Cn1cc2c(nc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1,419.1090498960001,13,2,2.823200000000001,True
197,CHEMBL351075,12.0,nM,7.92,CCCn1cc2c(nc(NC(=O)Nc3ccc(C)cc3)n3nc(-c4ccco4)nc23)n1,416.17092188000004,10,2,4.096420000000002,True
